county,govdemtot1998,govtottot1998,govdempct1998,govdemtot2002,govdemtot2002b,govtottot2002,govdempct2002,govdempct2002b,baldwin
Autauga,5972,13245,45.09,5137,5137,14763,34.80,34.80,0
Baldwin,17389,38542,45.12,12736,19070,44725,28.48,37.35,1
Barbour,5876,9119,64.44,4858,4858,8134,59.72,59.72,0
Bibb,3128,5642,55.44,3178,3178,6345,50.09,50.09,0
Blount,6311,13540,46.61,6393,6393,15628,40.91,40.91,0
Bullock,3333,4342,76.76,2825,2825,3925,71.97,71.97,0
Butler,3671,6968,52.68,3354,3354,6823,49.16,49.16,0
Calhoun,19939,31824,62.65,17718,17718,33356,53.12,53.12,0
Chambers,5629,9659,58.28,4767,4767,9724,49.02,49.02,0
Cherokee,4038,5953,67.83,3500,3500,6088,57.49,57.49,0
Chilton,5975,12761,46.82,5679,5679,13663,41.56,41.56,0
Choctaw,3364,5473,61.47,2780,2780,5104,54.47,54.47,0
Clarke,4767,8570,55.62,4245,4245,8875,47.83,47.83,0
Clay,2658,4780,55.61,2094,2094,5339,39.22,39.22,0
Cleburne,2505,4237,59.12,2172,2172,4941,43.96,43.96,0
Coffee,6609,12961,50.99,5839,5839,12896,45.28,45.28,0
Colbert,10581,17672,59.87,9783,9783,17100,57.21,57.21,0
Conecuh,3214,5349,60.09,2638,2638,4974,53.04,53.04,0
Coosa,2502,3975,62.94,2520,2520,4398,57.30,57.30,0
Covington,5266,11391,46.23,4931,4931,11437,43.11,43.11,0
Crenshaw,2518,4676,53.85,1931,1931,4399,43.90,43.90,0
Cullman,12684,24246,52.31,10974,10974,25784,42.56,42.56,0
Dale,6272,11686,53.67,5106,5106,11965,42.67,42.67,0
Dallas,10553,15536,67.93,10285,10285,16057,64.05,64.05,0
De_Kalb,9198,17358,52.99,8547,8547,18379,46.50,46.50,0
Elmore,8485,19126,44.36,6830,6830,21174,32.26,32.26,0
Escambia,4862,8789,55.32,3972,3972,8838,44.94,44.94,0
Etowah,19947,33098,60.27,17942,17942,31852,56.33,56.33,0
Fayette,4192,7416,56.53,3858,3858,7347,52.51,52.51,0
Franklin,5111,8840,57.82,4688,4688,8523,55.00,55.00,0
Geneva,3733,7615,49.02,2958,2958,7832,37.77,37.77,0
Greene,3452,4229,81.63,3576,3576,4262,83.90,83.90,0
Hale,3992,5691,70.15,4407,4407,6384,69.03,69.03,0
Henry,3360,5593,60.08,2684,2684,5494,48.85,48.85,0
Houston,11305,24282,46.56,9017,9017,25430,35.46,35.46,0
Jackson,8044,12477,64.47,7007,7007,12447,56.29,56.29,0
Jefferson,130077,219325,59.31,119918,119918,215149,55.74,55.74,0
Lamar,2497,4452,56.09,2908,2908,5804,50.10,50.10,0
Lauderdale,14460,25203,57.37,13054,13054,26174,49.87,49.87,0
Lawrence,6774,10395,65.17,6191,6191,10476,59.10,59.10,0
Lee,16767,28306,59.23,11772,11772,29113,40.44,40.44,0
Limestone,10896,19962,54.58,9499,9499,20653,45.99,45.99,0
Lowndes,3886,5084,76.44,4084,4084,5471,74.65,74.65,0
Macon,6595,7388,89.27,5987,5987,6982,85.75,85.75,0
Madison,50599,81689,61.94,43431,43431,89473,48.54,48.54,0
Marengo,5139,8495,60.49,4909,4909,7895,62.18,62.18,0
Marion,5583,9300,60.03,5303,5303,10237,51.80,51.80,0
Marshall,12087,21859,55.30,10422,10422,23469,44.41,44.41,0
Mobile,63419,104144,60.90,50782,50782,109371,46.43,46.43,0
Monroe,4255,7451,57.11,3755,3755,8190,45.85,45.85,0
Montgomery,42294,70181,60.26,37109,37109,70476,52.65,52.65,0
Morgan,18963,34841,54.43,15983,15983,36268,44.07,44.07,0
Perry,3619,4795,75.47,3610,3610,4952,72.90,72.90,0
Pickens,3942,6817,57.83,3923,3923,6700,58.55,58.55,0
Pike,5072,9138,55.50,3839,3839,8300,46.25,46.25,0
Randolph,3231,5774,55.96,3302,3302,7612,43.38,43.38,0
Russell,7218,9900,72.91,6696,6696,10730,62.40,62.40,0
Shelby,16814,41832,40.19,14964,14964,49423,30.28,30.28,0
St_Clair,9286,19302,48.11,8023,8023,19776,40.57,40.57,0
Sumter,3982,5063,78.65,3868,3868,5079,76.16,76.16,0
Talladega,12400,20503,60.48,12534,12534,22213,56.43,56.43,0
Tallapoosa,7886,14157,55.70,6558,6558,14700,44.61,44.61,0
Tuscaloosa,28487,46896,60.75,23970,23970,45765,52.38,52.38,0
Walker,12627,20613,61.26,11857,11857,20819,56.95,56.95,0
Washington,3946,5981,65.98,3323,3323,6212,53.49,53.49,0
Wilcox,3073,4373,70.27,3284,3284,4608,71.27,71.27,0
Winston,3846,7962,48.30,3298,3298,8044,41.00,41.00,0
