"country","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169","v170","v171","v172","v173","v174","v175","v176","v177","v178","v179","v180","v181","v182","v183","v184","v185","v186","v187","v188","v189","v190","v191","v192","v193","v194","v195","v196","v197","v198","v199","v200","v201","v202","v203","v204","v205","v206","v207","v208","v209","v210","v211","v212","v213","v214","v215","v216","v217","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v237","v238","v239","v240","v241","v242","v243","v244","v245","v246","v247","v248","v249","v250","v251","v252","v253","v254","v255","v256","v257","v258","v259","v260","countrycode","iso3","regioncode","regionname","subregioncode","subregionname"
"Afghanistan",41,40,41,42,42,42,42,41,42,36,36,36,60,179,176,176,156,154,154,168,165,165,263,260,260,257,254,254,260,257,257,501,540,524,447,448,448,476,498,489,1800,"NA",1,30,"NA",1309,719,164,97,77,18,5,19.1,0,24.3,0,0,32.7,1.4,22.5,436,346,238,168,168,168,"NA","NA",104,"NA","NA",26,433412,1141,"NA","NA",5904,"NA",17,"NA",152,40,71,13213,"NA",16,"NA","NA",14,"NA",13,32,73,20,35,70,25,31,83,"NA",83,"NA","NA","NA","NA","NA","NA","NA","NA",10.3,"NA","NA","NA",18,64,"NA",86,84,"NA",37,37,"NA",17,17,"NA",21,22,"NA",43,45,"NA",27,25,"NA",30,30,"NA","NA","NA",59.3,"NA",32.9,"NA",4.6,"NA","NA",0.01,"NA","NA","NA",13.1,3.2,9.8,"NA","NA","NA","NA",5970,2,14930,5,900,1,"NA","NA",900,1,4,"NA","NA","NA","NA",6.1,9.2,3.1,32.4,96.9,67.6,6.7,6.2,1,28.1,0,0,98.9,78.5,0,0,6,27,"NA",91,1,9,"NA",29,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",27145,17,47,4,4.9,3.3,18,21,24,6,25,25,25,8,7.8,7.1,151,"NA",28,"NA","NA","NA",0,"NA","NA","NA","NA",4,"AFG",142,"Asia",34,"Southern Asia"
"Albania",66,68,71,71,73,74,69,71,72,64,64,64,9,39,22,14,36,19,13,37,21,13,48,26,16,44,22,14,46,24,15,158,157,142,104,103,92,133,130,117,92,"NA","NA",3,"NA",752,485,149,58,12,71,16,33.8,0,13.7,0,0,9.9,2.6,40,42,40,22,25,25,17,"NA","NA",0,"NA",0,"NA","NA",35,"NA",824,13,"NA",0,0,0,0,2,165,0,97,41,89,100,24.3,30,86,87,88,95,97,94,97,98,96,98,"NA","NA",8,"NA","NA",45.3,89.1,1.2,75.1,"NA","NA","NA","NA",54,"NA","NA",93,100,100,97,"NA",94,97,"NA",97,97,97,97,98,"NA",83,97,"NA",89,97,7,2.3,"NA",27,"NA",6.6,"NA",25.2,"NA","NA",2.01,40.5,4,22.4,17.3,9.4,13,"NA","NA","NA",6,3626,12,12746,41,1035,3,"NA","NA",1173,4,30,"NA","NA","NA","NA",6.4,6.5,36.3,37.3,63.7,62.7,7.1,8.7,6,3.5,20.2,30.2,99.9,94.9,0,0,75,187,239,381,27,70,87,142,2005,100,100,1,0,99,100,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19,20,1,-1,"NA","NA","NA","NA","NA","NA","NA","NA",3190,29,25,13,0,0.3,36,42,46,90,"50-74",50,74,2.9,2.4,2.1,13,"NA",99,95,94,94,93,2540,3920,6580,1,8,"ALB",150,"Europe",39,"Southern Europe"
"Algeria",65,68,70,68,71,73,66,70,71,62,63,62,22,58,40,35,49,34,30,54,37,33,75,48,40,63,40,34,69,44,37,198,175,147,165,131,121,181,153,134,180,10,0,2,0.1,565,268,98,60,43,42,15,50.5,0.2,13.1,0.4,0,12.2,5.3,18.3,45,48,56,38,48,57,87,"NA",0,"NA","NA",0,"NA",0,"NA","NA",0,"NA",0,"NA","NA",4,11,8439,"NA",89,41,77,95,"NA",75,64,70,83,80,92,89,92,95,"NA",90,"NA","NA","NA","NA","NA",52.6,26.6,24.6,61.4,"NA",20,"NA",127,98,"NA",87,91,99,93,87,88,84,81,94,89,85,99,99,98,77,82,87,88,92,94,6,6.9,22.5,21.6,11.3,10.2,13.2,15.4,"NA","NA",0.15,29.9,0.3,15.2,25.5,5.7,13.8,"NA","NA","NA",13,35368,11,69749,22,9553,3,"NA","NA",24421,8,17,"NA","NA","NA","NA",3.5,4.2,73.3,81.1,26.7,18.9,9,11.9,0.1,0.1,35.5,26.7,96.7,94.6,3.1,5.2,63,148,188,315,46,120,138,255,2006,92,98,1.1,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",33858,25,28,7,2.2,1.5,52,60,65,99,"75-89",75,89,4.7,2.6,2.4,4,"NA",75.4,93,96,89,95,4350,5130,7640,"NA",12,"DZA",2,"Africa",15,"Northern Africa"
"Andorra",74,76,78,81,83,85,77,80,81,72,76,74,2,8,4,3,7,4,3,8,4,3,10,5,4,8,5,4,9,5,4,143,125,100,60,50,44,102,88,72,"NA","NA","NA",2,"NA",373,127,127,29,7,80,12,52.5,0.4,0.1,0,0,2.1,2.8,42,39,20,19,36,22,19,"NA","NA",0,"NA","NA","NA","NA",0,"NA",4,"NA","NA",0,0,0,0,0,2,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",97,94,"NA",98,96,84,91,90,95,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15,32,"NA",50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.5,29.2,32.9,"NA","NA","NA","NA","NA","NA","NA",244,36,259,39,46,7,"NA","NA",72,11,32,"NA","NA","NA","NA",7.6,7.4,65,70.4,35,29.6,19.1,22.7,0,0,88.1,87.7,76.2,73.4,21.6,24.4,1284,2822,1905,2980,835,1987,1239,2099,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",75,"NA",15,22,2.9,1.2,95,92,89,90,"25-49",25,49,1.3,1.4,1.3,10,"NA","NA","NA",81,"NA",80,"NA","NA","NA","NA",20,"AND",150,"Europe",39,"Southern Europe"
"Angola",38,46,51,44,51,55,41,49,53,44,47,45,54,157,132,121,143,120,110,150,126,116,273,203,168,241,179,148,258,191,158,588,474,383,431,344,312,513,410,347,1400,65,128,22,11.3,1071,480,190,206,81,11,8,18.2,1.2,22.4,0.5,9.7,30,1.6,16.4,514,530,294,205,250,287,1962,18422,4,"NA","NA",1269,"NA",1014,"NA","NA",921,"NA",8,"NA",25,70,790,21422,0,80,"NA",23,47,"NA",34,77,81,38,41,88,24,31,83,"NA",83,"NA",83,"NA",18,29,"NA","NA","NA",6.2,9,25,"NA","NA",102,"NA",68,18,37,49,62,40,39,39,39,44,51,55,67,79,9,13,16,26,40,50,12,11.1,61.7,50.8,37,27.5,1.6,5.3,"NA","NA",3.86,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1165,1,18485,14,222,1,"NA","NA",3242,2,8,"NA","NA","NA","NA",2.4,2.6,79.9,86.8,20.1,13.2,3.2,5,3.6,7,0,0,100,100,0,0,16,71,56,115,13,62,44,100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17024,17,46,4,2.8,2.7,37,50,56,29,25,25,25,7.2,6.8,6.5,165,"NA",67.4,"NA","NA","NA","NA",1870,1910,4400,42.5,24,"AGO",2,"Africa",17,"Middle Africa"
"Antigua and Barbuda",69,71,74,71,74,75,70,73,74,65,66,66,8,28,14,11,22,11,8,25,13,9,32,17,12,26,13,10,29,15,11,193,203,187,138,160,157,165,181,172,"NA","NA","NA",1,"NA",674,296,160,45,17,70,12,64.4,1.7,0,0,0,1,2.1,30.9,16,8,9,10,6,5,"NA","NA",0,"NA","NA",0,"NA",0,"NA","NA",0,"NA",0,0,0,0,0,2,0,100,"NA",100,100,"NA","NA","NA","NA",89,95,99,99,95,99,"NA",97,"NA",99,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",136,"NA","NA",100,"NA",95,95,95,"NA",89,"NA","NA",91,"NA",98,98,98,"NA",94,"NA","NA",95,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",5.73,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12,2,233,33,13,2,"NA","NA","NA","NA",20,"NA","NA","NA","NA",4.8,4.3,69,67.3,31,32.7,12.1,10.4,3.6,0.2,0,0,86.8,86.9,13.2,13.1,412,517,599,823,285,348,413,555,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",85,"NA",28,11,1,1.7,35,32,31,"NA","50-74",50,74,1.9,2.7,2.1,67,"NA","NA","NA",75,"NA",73,8100,11730,17620,"NA",28,"ATG",19,"Americas",419,"Latin America and the Caribbean"
"Argentina",69,71,71,76,78,79,72,74,75,64,69,67,10,26,19,15,21,15,12,24,17,14,31,22,17,25,17,14,28,20,16,198,179,165,103,92,88,150,136,126,77,18,0,4,0.5,515,207,139,46,18,67,15,48.1,0.1,1,0,0,4.1,6.6,40,96,52,35,60,40,31,409,"NA",0,"NA","NA",312,"NA",0,"NA",11575,2587,"NA",0,0,96,0,6,4985,0,99,89,97,99,"NA","NA","NA","NA",93,91,99,87,83,96,"NA",92,83,96,"NA","NA","NA","NA","NA","NA",65.3,"NA",73,"NA",31,76,"NA",54,63,97,98,98,72,78,80,94,96,96,86,91,92,45,74,83,81,89,91,7,"NA","NA",8.2,"NA",2.3,"NA",9.9,"NA",19.4,8.4,34.6,25.4,30,26.1,29.7,28,"NA","NA","NA","NA",108800,30,29000,8,28900,8,"NA","NA",15300,4,41,"NA","NA","NA","NA",8.9,10.1,55.4,45.5,44.6,54.5,14.7,14.2,0,0.1,59.4,58.5,63.3,43.8,32.6,51.1,689,551,814,1205,382,251,451,549,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",39531,29,26,14,1.3,1,87,89,92,90,"90-100",90,100,3,2.5,2.3,62,96.1,97.6,99,99,99,98,5170,8890,12990,"NA",32,"ARG",19,"Americas",5,"South America"
"Armenia",62,67,66,70,73,73,66,70,69,59,63,61,18,51,34,23,45,30,20,48,32,22,63,40,27,49,31,21,56,36,24,279,210,242,135,96,102,207,149,166,76,10,0,10,0.4,1064,673,178,44,13,79,7,49.3,0.3,13.6,0.3,0,11.9,2.6,22,52,94,81,33,71,72,99,"NA",0,"NA","NA","NA",1,1,"NA",133,1,"NA",0,0,87,0,0,497,"NA",93,71,93,98,9,"NA","NA","NA","NA",92,92,"NA",93,88,55,85,"NA","NA","NA","NA","NA",41.9,41.9,13.3,53.1,"NA",12,12,47,51,83,87,69,99,99,99,"NA",83,96,"NA",93,98,94,95,96,"NA",79,81,"NA",89,91,8,32.5,15.1,18.2,2.7,4.2,10.8,11.7,"NA",15.5,1.48,55.1,3.7,29.6,13,2.7,7.3,58,"NA",15,23,11133,37,14806,49,1255,4,"NA","NA",157,1,44,"NA","NA","NA",3.4,6.4,4.7,17.7,41.2,82.3,58.8,4.6,9.7,8.5,14.5,0,0,91.6,87.6,"NA",0.1,40,98,130,226,7,41,23,93,2005,98,99,1,1,93,100,1.1,7,"NA","NA","NA","NA",80,67,0.8,-13,72,-62,0.8,-11,"NA","NA","NA","NA",42,26,1.6,16,52,23,2.3,29,"NA","NA","NA","NA",3002,32,19,14,-1,-0.5,67,65,64,90,"50-74",50,74,2.5,1.5,1.4,25,"NA",99.5,"NA",80,"NA",84,2050,2090,5900,4.7,51,"ARM",142,"Asia",145,"Western Asia"
"Australia",74,77,79,80,82,84,77,80,82,72,75,74,3,9,6,5,7,5,4,8,5,5,10,7,6,8,6,5,9,6,6,124,97,79,66,55,46,96,77,63,4,10,"NA",1,0,355,136,126,32,6,78,16,47,0,0,0,0,2,9.1,41.9,7,6,6,7,6,6,107,3,0,"NA","NA","NA","NA",11,"NA",579,5379,"NA",0,2,36,0,3,281,0,"NA","NA",99,99,30.8,"NA","NA","NA",86,91,94,95,90,92,"NA",94,90,94,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23,49,"NA",74,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7,"NA","NA","NA","NA","NA","NA","NA",20.6,25.5,9.02,27.7,21.8,24.8,"NA","NA","NA","NA","NA","NA","NA",47875,25,187837,97,21296,11,"NA","NA",64433,33,40,"NA","NA","NA","NA",8.3,8.7,67.1,67.7,32.9,32.3,15.4,17,0,0,0,0,60,56.4,21.9,23.2,1734,3302,2271,3119,1164,2237,1524,2113,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20743,37,19,19,1.4,1.1,85,87,89,90,"90-100",90,100,1.9,1.8,1.8,15,"NA","NA",94,96,94,97,16270,24910,33340,"NA",36,"AUS",9,"Oceania",53,"Australia and New Zealand"
"Austria",72,75,77,79,81,83,76,78,80,70,74,72,3,9,5,4,7,4,3,8,5,4,10,6,5,9,5,4,10,6,4,153,126,104,74,63,52,114,95,78,4,"NA","NA",1,0,409,176,131,38,4,82,13,54.9,0,0,0,0,0.8,4.2,40.1,18,11,10,23,14,12,138,"NA",0,"NA","NA","NA","NA",20,"NA","NA",133,"NA",0,"NA",13,"NA",0,189,0,"NA","NA",100,"NA",25.8,"NA","NA","NA",60,75,79,90,81,85,33,85,72,85,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",62,41,"NA",73,71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7,10,"NA","NA","NA","NA","NA","NA","NA","NA",11.08,46.4,40.1,43.3,"NA","NA","NA","NA","NA","NA","NA",30068,37,53782,66,4467,5,"NA","NA",5076,6,76,"NA","NA","NA","NA",9.9,10.2,76.8,75.9,23.2,24.1,14.7,15.7,0,0,58.8,59.1,66.1,65.8,20.7,19.2,2364,3974,2858,3608,1816,3014,2196,2737,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8361,41,15,22,0.6,0.3,66,66,67,90,"90-100",90,100,1.5,1.4,1.4,12,"NA","NA",97,97,98,98,19360,28570,38140,"NA",40,"AUT",150,"Europe",155,"Western Europe"
